step,condition,metric,value
68,Privileged,Social-welfare efficiency,0.913875450827191
69,Privileged,Social-welfare efficiency,0.9199482816727216
70,Privileged,Social-welfare efficiency,0.9178639857832832
71,Privileged,Social-welfare efficiency,0.9173248162263689
72,Privileged,Social-welfare efficiency,0.9130350639547776
73,Privileged,Social-welfare efficiency,0.9143432534637445
74,Privileged,Social-welfare efficiency,0.9245913334937431
75,Privileged,Social-welfare efficiency,0.924795761303027
76,Privileged,Social-welfare efficiency,0.9249391478864409
77,Privileged,Social-welfare efficiency,0.9293336614663213
78,Privileged,Social-welfare efficiency,0.9359073882993315
79,Privileged,Social-welfare efficiency,0.9355687060393364
80,Privileged,Social-welfare efficiency,0.9361506503563467
81,Privileged,Social-welfare efficiency,0.9322124722157106
82,Privileged,Social-welfare efficiency,0.939641959632673
83,Privileged,Social-welfare efficiency,0.9280407462466995
84,Privileged,Social-welfare efficiency,0.9111401953579855
85,Privileged,Social-welfare efficiency,0.9069888471110008
86,Privileged,Social-welfare efficiency,0.902562596913685
87,Privileged,Social-welfare efficiency,0.8923621316565822
88,Privileged,Social-welfare efficiency,0.8873473413270128
89,Privileged,Social-welfare efficiency,0.8736031504731893
90,Privileged,Social-welfare efficiency,0.8816358459985868
91,Privileged,Social-welfare efficiency,0.8849127201350108
92,Privileged,Social-welfare efficiency,0.8636669630662034
93,Privileged,Social-welfare efficiency,0.8660555911830975
94,Privileged,Social-welfare efficiency,0.865092196352944
95,Privileged,Social-welfare efficiency,0.8717383079901546
1,Vanilla,Social-optimal rate,0.47058823529411764
2,Vanilla,Social-optimal rate,0.48388168826852773
3,Vanilla,Social-optimal rate,0.47258779217901853
4,Vanilla,Social-optimal rate,0.47034993504335476
5,Vanilla,Social-optimal rate,0.44473632387361006
6,Vanilla,Social-optimal rate,0.4768775853309166
7,Vanilla,Social-optimal rate,0.4694348961496352
8,Vanilla,Social-optimal rate,0.4673952453378542
9,Vanilla,Social-optimal rate,0.44916525621619224
10,Vanilla,Social-optimal rate,0.4403780003066342
11,Vanilla,Social-optimal rate,0.44505893088684534
12,Vanilla,Social-optimal rate,0.4474874391627193
13,Vanilla,Social-optimal rate,0.42729554043219214
14,Vanilla,Social-optimal rate,0.4390199052902702
15,Vanilla,Social-optimal rate,0.44628164493758543
16,Vanilla,Social-optimal rate,0.43953924546063217
17,Vanilla,Social-optimal rate,0.47879297367339724
18,Vanilla,Social-optimal rate,0.4735153424964854
19,Vanilla,Social-optimal rate,0.484614392895088
20,Vanilla,Social-optimal rate,0.44414615881783137
21,Vanilla,Social-optimal rate,0.4364712566651895
22,Vanilla,Social-optimal rate,0.43809635114742684
23,Vanilla,Social-optimal rate,0.44776813699502455
24,Vanilla,Social-optimal rate,0.40063499802515085
25,Vanilla,Social-optimal rate,0.4011633459219198
26,Vanilla,Social-optimal rate,0.4046724418679906
27,Vanilla,Social-optimal rate,0.4174385302154743
28,Vanilla,Social-optimal rate,0.40504019216738374
29,Vanilla,Social-optimal rate,0.4117931857624826
30,Vanilla,Social-optimal rate,0.4286311266125815
31,Vanilla,Social-optimal rate,0.4598811266125815
32,Vanilla,Social-optimal rate,0.447651573137056
33,Vanilla,Social-optimal rate,0.4317785572640401
34,Vanilla,Social-optimal rate,0.43968407900422485
35,Vanilla,Social-optimal rate,0.4386761937845652
36,Vanilla,Social-optimal rate,0.40946977437469595
37,Vanilla,Social-optimal rate,0.39223940804976226
38,Vanilla,Social-optimal rate,0.3807043003761196
39,Vanilla,Social-optimal rate,0.37641383038873244
40,Vanilla,Social-optimal rate,0.38494026026347694
41,Vanilla,Social-optimal rate,0.3962862401404183
42,Vanilla,Social-optimal rate,0.3938082468183068
43,Vanilla,Social-optimal rate,0.4205286123838879
44,Vanilla,Social-optimal rate,0.44029866124850414
45,Vanilla,Social-optimal rate,0.43857933924329856
46,Vanilla,Social-optimal rate,0.47188325792813696
47,Vanilla,Social-optimal rate,0.4827511844643234
48,Vanilla,Social-optimal rate,0.49386052624050675
49,Vanilla,Social-optimal rate,0.497686183373066
50,Vanilla,Social-optimal rate,0.4839900219025308
51,Vanilla,Social-optimal rate,0.49197836009495066
52,Vanilla,Social-optimal rate,0.5213217253480286
53,Vanilla,Social-optimal rate,0.5061843514928107
54,Vanilla,Social-optimal rate,0.504889542593192
55,Vanilla,Social-optimal rate,0.4921501412399292
56,Vanilla,Social-optimal rate,0.5095574203737815
57,Vanilla,Social-optimal rate,0.508513350798297
58,Vanilla,Social-optimal rate,0.4854229717895506
59,Vanilla,Social-optimal rate,0.4680160090044366
60,Vanilla,Social-optimal rate,0.4926949165947366
61,Vanilla,Social-optimal rate,0.48464360863986056
62,Vanilla,Social-optimal rate,0.507652039811557
63,Vanilla,Social-optimal rate,0.5026972276980325
64,Vanilla,Social-optimal rate,0.5139924227277667
65,Vanilla,Social-optimal rate,0.5474853172677816
66,Vanilla,Social-optimal rate,0.5427634285122794
67,Vanilla,Social-optimal rate,0.5358254512353191
68,Vanilla,Social-optimal rate,0.550250323108516
69,Vanilla,Social-optimal rate,0.5385531338305857
70,Vanilla,Social-optimal rate,0.542871527854862
71,Vanilla,Social-optimal rate,0.5282770575839513
72,Vanilla,Social-optimal rate,0.5070630746085621
73,Vanilla,Social-optimal rate,0.5213768000987582
74,Vanilla,Social-optimal rate,0.5010254000863413
75,Vanilla,Social-optimal rate,0.49791981002422947
76,Vanilla,Social-optimal rate,0.48842970665110924
77,Vanilla,Social-optimal rate,0.4907878052133962
78,Vanilla,Social-optimal rate,0.5043499340393442
79,Vanilla,Social-optimal rate,0.5166934064601596
80,Vanilla,Social-optimal rate,0.5087134246585218
81,Vanilla,Social-optimal rate,0.5315518265666912
82,Vanilla,Social-optimal rate,0.5353512186639556
83,Vanilla,Social-optimal rate,0.5632426073805894
84,Vanilla,Social-optimal rate,0.5679706766187559
85,Vanilla,Social-optimal rate,0.574566810370062
86,Vanilla,Social-optimal rate,0.5586105668739656
87,Vanilla,Social-optimal rate,0.5540508661359209
88,Vanilla,Social-optimal rate,0.5470920801073674
89,Vanilla,Social-optimal rate,0.5550666283554719
90,Vanilla,Social-optimal rate,0.5378615064827404
91,Vanilla,Social-optimal rate,0.5316826530318124
92,Vanilla,Social-optimal rate,0.5302222245890226
93,Vanilla,Social-optimal rate,0.5360902455903609
94,Vanilla,Social-optimal rate,0.5438234538161799
95,Vanilla,Social-optimal rate,0.5253344198632285
1,Vanilla,Social-welfare efficiency,0.9212070845274146
2,Vanilla,Social-welfare efficiency,0.9321981259664793
3,Vanilla,Social-welfare efficiency,0.918476445795079
4,Vanilla,Social-welfare efficiency,0.8942047043254928
5,Vanilla,Social-welfare efficiency,0.8801104810936359
6,Vanilla,Social-welfare efficiency,0.8775298964250785
7,Vanilla,Social-welfare efficiency,0.8768892595054251
8,Vanilla,Social-welfare efficiency,0.8673305340115852
9,Vanilla,Social-welfare efficiency,0.853966955509042
10,Vanilla,Social-welfare efficiency,0.8418834431975611
11,Vanilla,Social-welfare efficiency,0.8341246186058775
12,Vanilla,Social-welfare efficiency,0.8358596176385239
13,Vanilla,Social-welfare efficiency,0.8392158400743964
14,Vanilla,Social-welfare efficiency,0.8338876036765488
15,Vanilla,Social-welfare efficiency,0.827644327332564
16,Vanilla,Social-welfare efficiency,0.8260068354206508
17,Vanilla,Social-welfare efficiency,0.8440681698181791
18,Vanilla,Social-welfare efficiency,0.8558307441580452
19,Vanilla,Social-welfare efficiency,0.8485395406523849
20,Vanilla,Social-welfare efficiency,0.8201458746959321
21,Vanilla,Social-welfare efficiency,0.8042688305830553
22,Vanilla,Social-welfare efficiency,0.8082371933430447
23,Vanilla,Social-welfare efficiency,0.8030888461056342
24,Vanilla,Social-welfare efficiency,0.782411923516735
25,Vanilla,Social-welfare efficiency,0.7856397004979152
26,Vanilla,Social-welfare efficiency,0.7840563704212737
27,Vanilla,Social-welfare efficiency,0.7940708232870008
28,Vanilla,Social-welfare efficiency,0.8118547837567477
29,Vanilla,Social-welfare efficiency,0.8043501377524771
30,Vanilla,Social-welfare efficiency,0.8136984217549942
31,Vanilla,Social-welfare efficiency,0.8316757690260724
32,Vanilla,Social-welfare efficiency,0.8053700406216677
33,Vanilla,Social-welfare efficiency,0.8013953283175185
34,Vanilla,Social-welfare efficiency,0.8124886116164124
35,Vanilla,Social-welfare efficiency,0.8062663725017468
36,Vanilla,Social-welfare efficiency,0.8214713324439487
37,Vanilla,Social-welfare efficiency,0.8150457897722634
38,Vanilla,Social-welfare efficiency,0.8105858257695985
39,Vanilla,Social-welfare efficiency,0.8371862541428764
40,Vanilla,Social-welfare efficiency,0.8574985946411224
41,Vanilla,Social-welfare efficiency,0.8676825374302057
42,Vanilla,Social-welfare efficiency,0.875010141584948
43,Vanilla,Social-welfare efficiency,0.8824713109198712
44,Vanilla,Social-welfare efficiency,0.8954446286745562
45,Vanilla,Social-welfare efficiency,0.8962032111148537
46,Vanilla,Social-welfare efficiency,0.9048659246939043
47,Vanilla,Social-welfare efficiency,0.9049512825389524
48,Vanilla,Social-welfare efficiency,0.9040363156399996
49,Vanilla,Social-welfare efficiency,0.9101674759301716
50,Vanilla,Social-welfare efficiency,0.9047392698530602
51,Vanilla,Social-welfare efficiency,0.9055200240959983
52,Vanilla,Social-welfare efficiency,0.9141929094926101
53,Vanilla,Social-welfare efficiency,0.9109968255691848
54,Vanilla,Social-welfare efficiency,0.9101735861053378
55,Vanilla,Social-welfare efficiency,0.9033478469133719
56,Vanilla,Social-welfare efficiency,0.9049692923544811
57,Vanilla,Social-welfare efficiency,0.894857868104746
58,Vanilla,Social-welfare efficiency,0.8877896626648287
59,Vanilla,Social-welfare efficiency,0.885652000733484
60,Vanilla,Social-welfare efficiency,0.8822128386278353
61,Vanilla,Social-welfare efficiency,0.8781088551454612
62,Vanilla,Social-welfare efficiency,0.8852626671763668
63,Vanilla,Social-welfare efficiency,0.8843007344879602
64,Vanilla,Social-welfare efficiency,0.90125487310302
65,Vanilla,Social-welfare efficiency,0.912247871712055
66,Vanilla,Social-welfare efficiency,0.9098434262893403
67,Vanilla,Social-welfare efficiency,0.9178431728978891
68,Vanilla,Social-welfare efficiency,0.9255211611412065
69,Vanilla,Social-welfare efficiency,0.9269806564704643
70,Vanilla,Social-welfare efficiency,0.9292176413960485
71,Vanilla,Social-welfare efficiency,0.9251566304510419
72,Vanilla,Social-welfare efficiency,0.9218658405193464
73,Vanilla,Social-welfare efficiency,0.9245895665157388
74,Vanilla,Social-welfare efficiency,0.9195830198215782
75,Vanilla,Social-welfare efficiency,0.9228109933502229
76,Vanilla,Social-welfare efficiency,0.9216594174154807
77,Vanilla,Social-welfare efficiency,0.9194055683955281
78,Vanilla,Social-welfare efficiency,0.9203370415772895
79,Vanilla,Social-welfare efficiency,0.9229198240628259
80,Vanilla,Social-welfare efficiency,0.9177116017281693
81,Vanilla,Social-welfare efficiency,0.9185741571329649
82,Vanilla,Social-welfare efficiency,0.9100426405173198
83,Vanilla,Social-welfare efficiency,0.9121682047838754
84,Vanilla,Social-welfare efficiency,0.9162226965512535
85,Vanilla,Social-welfare efficiency,0.9164968649003277
86,Vanilla,Social-welfare efficiency,0.9052092854332907
87,Vanilla,Social-welfare efficiency,0.9068426271211195
88,Vanilla,Social-welfare efficiency,0.908403876112869
89,Vanilla,Social-welfare efficiency,0.9180474921500343
90,Vanilla,Social-welfare efficiency,0.918663155982374
91,Vanilla,Social-welfare efficiency,0.9141248544679739
92,Vanilla,Social-welfare efficiency,0.9155515815459772
93,Vanilla,Social-welfare efficiency,0.9265323012911088
94,Vanilla,Social-welfare efficiency,0.9307300643034377
95,Vanilla,Social-welfare efficiency,0.9288573638294004
